序号|SERIAL,代码|SECURITY_CODE,名称|SECURITY_SHORT_NAME,市场简称|MARKET_SHORT_NAME,最新价|NEWEST_PRICE|2026.05.15|元,涨跌幅|CHG|2026.05.15|%,市场码|MARKET_NUM,上市板块|TRADEMARKET,是否ST|IFSTSTOCK{2026-05-15}|2026.05.15,证券类型|SECURITYTYPE,13日均线(季线)|13日JX<100>{2026-05-15}|2026.05.15|元,21日均线(季线)|21日JX<100>{2026-05-15}|2026.05.15|元,34日均线(季线)|34日JX<100>{2026-05-15}|2026.05.15|元,收盘价(季线)|NEWEST_PRICE<100>|2026.05.15|元,总市值(日线不复权)|TOAL_MARKET_VALUE<140>|2026.05.15|元,收盘价(日线不复权)|NEWEST_PRICE<140>|2026.05.15|元,市盈率(TTM)(倍)|PETTM{2026-05-15}|2026.05.15|倍,市净率(倍)|PB|2026.05.15|倍,市盈率百分位|PE_TTM_PERCENTILE{2026-05-15}|2026.05.15|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-14}|2026.05.14|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-13}|2026.05.13|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-12}|2026.05.12|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-11}|2026.05.11|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-15}|2026.05.15|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-14}|2026.05.14|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-13}|2026.05.13|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-12}|2026.05.12|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-15}|2026.05.15|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-14}|2026.05.14|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-13}|2026.05.13|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-12}|2026.05.12|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-29}|2026.04.29|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-28}|2026.04.28|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-27}|2026.04.27|%,股息率(近12个月)|DIVIDENDYIELDY{2026-04-24}|2026.04.24|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-15}|2025.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-14}|2025.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-11}|2025.07.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-07-10}|2025.07.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-13}|2025.06.13|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-12}|2025.06.12|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-11}|2025.06.11|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-10}|2025.06.10|%,股息率(近12个月)|DIVIDENDYIELDY{2025-06-03}|2025.06.03|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-30}|2025.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-29}|2025.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2025-05-28}|2025.05.28|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-06}|2021.08.06|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-05}|2021.08.05|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-04}|2021.08.04|%,股息率(近12个月)|DIVIDENDYIELDY{2021-08-03}|2021.08.03|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-16}|2021.07.16|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-15}|2021.07.15|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-14}|2021.07.14|%,股息率(近12个月)|DIVIDENDYIELDY{2021-07-13}|2021.07.13|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-24}|2020.07.24|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-23}|2020.07.23|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-22}|2020.07.22|%,股息率(近12个月)|DIVIDENDYIELDY{2020-07-21}|2020.07.21|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-31}|2019.05.31|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-30}|2019.05.30|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-29}|2019.05.29|%,股息率(近12个月)|DIVIDENDYIELDY{2019-05-28}|2019.05.28|%,销售毛利率|XSMLL{2025-12-31}|2025.12.31|%,销售毛利率|XSMLL{2024-12-31}|2024.12.31|%,销售毛利率|XSMLL{2023-12-31}|2023.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2025-12-31}|2025.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2024-12-31}|2024.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2023-12-31}|2023.12.31|%,营业收入同比增长率(%)|营业收入[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,营业收入|OPERATEREVE{2025-12-31}|2025.12.31|元,营业收入|OPERATEREVE{2024-12-31}|2024.12.31|元,营业收入|OPERATEREVE{2023-12-31}|2023.12.31|元,营业收入|OPERATEREVE{2022-12-31}|2022.12.31|元,归属母公司股东的净利润同比增长率(%)|归属母公司股东的净利润[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,归属净利润|PARENT_NETPROFIT{2025-12-31}|2025.12.31|元,归属净利润|PARENT_NETPROFIT{2024-12-31}|2024.12.31|元,归属净利润|PARENT_NETPROFIT{2023-12-31}|2023.12.31|元,归属净利润|PARENT_NETPROFIT{2022-12-31}|2022.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2025-12-31}|2025.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2024-12-31}|2024.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2023-12-31}|2023.12.31|元,资产负债率|DEBT_ASSET_RATIO{2026-05-16}|截至2026.05.16最新|%,有息负债率|INTERESTDEBTRATIO{2026-05-16}|截至2026.05.16最新|%,东财行业分类二级|INDUSTRY,东财行业总分类|INDUSTRY_ALL,申万行业分类|SW_INDUSTRY,概念|STYLE_CONCEPT,主营业务|MAIN_BUSINESS,收盘价(季线不复权)|NEWEST_PRICE<170>|2026.05.15|元,涨跌幅(季线)|CHG<100>|2026.05.15|%,涨跌幅(季线)|CHG<100>{2026-03-31}|2026.03.31|%,涨跌幅(季线)|CHG<100>{2025-12-31}|2025.12.31|%,涨跌幅(季线)|CHG<100>{2025-12-29}|2025.12.29|%,涨跌幅(季线)|CHG<100>{2025-09-30}|2025.09.30|%,成交额(季线)|TRADING_VOLUMES<100>|2026.05.15|元,成交额(季线)|TRADING_VOLUMES<100>{2026-03-31}|2026.03.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-31}|2025.12.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-29}|2025.12.29|元,成交额(季线)|TRADING_VOLUMES<100>{2025-09-30}|2025.09.30|元,换手率(季线)|TURNOVER_RATE<100>|2026.05.15|%,换手率(季线)|TURNOVER_RATE<100>{2026-03-31}|2026.03.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-31}|2025.12.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-29}|2025.12.29|%,换手率(季线)|TURNOVER_RATE<100>{2025-09-30}|2025.09.30|%,成交量(股)(季线)|VOLUME<100>{2025-12-31}|2025.12.31|股,成交量(股)(季线)|VOLUME<100>{2025-12-29}|2025.12.29|股,成交量(股)(季线)|VOLUME<100>{2025-09-30}|2025.09.30|股,成交量(股)(季线)|VOLUME<100>{2025-06-30}|2025.06.30|股,成交量(股)(季线)|VOLUME<100>{2025-03-31}|2025.03.31|股,涨跌额|PCHG|2026.05.15|元,最高价(日线不复权)|PEAK_PRICE<140>|2026.05.15|元,最低价(日线不复权)|BOTTOM_PRICE<140>|2026.05.15|元,换手率|TURNOVER_RATE|2026.05.15|%,量比|QRR|2026.05.15,成交量(股)|VOLUME|2026.05.15|股,成交额|TRADING_VOLUMES|2026.05.15|元,市盈率(动)(倍)|PE_DYNAMIC|2026.05.15|倍,流通市值(日线不复权)|CIRCULATION_MARKET_VALUE<140>|2026.05.15|元,IN_OPTIONAL,XSMLL{2023-12-31|2025-12-31|3|四季度}
36,600887,伊利股份,SH,27.61,-0.61,1,上交所主板,否,A股,26.23,28.12,26.93,27.61,1746.43亿,27.61,14.45,2.93,6.94,7.16,7.23,7.39,7.42,14.49,14.73,14.81,15.00,15.05,6.16,6.12,6.09,6.07,6.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.58|2025年报,33.88|2024年报,32.58|2023年报,20.87|2025年报,15.81|2024年报,20.20|2023年报,0.21,1156.36亿|2025年报,1153.93亿|2024年报,1257.58亿|2023年报,1226.98亿|2022年报,36.82,115.65亿|2025年报,84.53亿|2024年报,104.29亿|2023年报,94.31亿|2022年报,143.44亿|2025年报,217.40亿|2024年报,182.90亿|2023年报,59.50|2026一季报,66.63|2026一季报,饮料乳品,食品饮料-饮料乳品-乳品,食品饮料-饮料乳品-乳品,【HS300_】【MSCI中国】【上证180_】【上证50_】【乳业】【味蕾经济】【大盘价值】【大盘股】【央视50_】【婴童概念】【富时罗素】【新零售】【机构重仓】【标准普尔】【沪股通】【破增发价股】【茅指数】【融资融券】【行业龙头】【西部大开发】【证金持股】【超级品牌】,各类乳品及健康饮品的生产与销售,27.61,4.78,-7.87,6.72,-,-2.19,431.82亿,816.72亿,731.81亿,-,1033.89亿,25.71,48.51,41.00,-,58.96,25.81亿,-,37.11亿,23.61亿,26.64亿,-0.17,27.99,27.49,0.77,0.73,4833.72万,13.41亿,8.09,1737.75亿,false,
37,601211,国泰海通,SH,15.44,-1.72,1,上交所主板,否,A股,15.81,14.99,14.57,15.44,2721.91亿,15.44,12.40,0.83,37.42,39.52,42.18,42.84,43.50,2.27,3.48,4.88,5.23,5.76,2.79,2.74,2.68,2.67,2.66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.78|2025年报,8.14|2024年报,6.02|2023年报,87.40,631.07亿|2025年报,336.75亿|2024年报,361.41亿|2023年报,354.71亿|2022年报,113.52,278.09亿|2025年报,130.24亿|2024年报,93.74亿|2023年报,115.09亿|2022年报,811.38亿|2025年报,561.05亿|2024年报,72.04亿|2023年报,84.45|2026一季报,-,证券Ⅱ,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,【2025年报预增】【AH股】【HS300_】【MSCI中国】【上证180_】【上证50_】【互联网金融】【券商概念】【周期股】【大盘股】【富时罗素】【并购重组概念】【机构重仓】【权重股】【标准普尔】【沪股通】【破净股】【科创板做市商】【股权激励】【融资融券】【证金持股】【长江三角】,"财富管理业务,投行业务,机构与交易业务,投资管理业务,融资租赁业务",15.44,-6.93,-19.27,9.78,-,-0.05,563.69亿,1099.76亿,1172.67亿,-,1577.15亿,25.35,41.67,44.37,-,58.43,59.87亿,-,78.84亿,44.08亿,30.53亿,-0.27,15.76,15.39,1.01,0.91,1.36亿,21.21亿,10.65,2083.92亿,false,-
38,300498,温氏股份,SZ,15.08,0.00,0,深交所创业板,否,A股,17.41,17.62,18.88,15.08,1003.41亿,15.08,45.96,2.54,89.06,89.05,89.05,89.55,90.10,7.15,7.11,7.08,9.12,14.64,3.31,3.31,3.31,3.24,3.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.18|2025年报,17.43|2024年报,0.84|2023年报,12.57|2025年报,24.66|2024年报,-17.39|2023年报,-1.67,1038.24亿|2025年报,1055.84亿|2024年报,899.02亿|2023年报,837.08亿|2022年报,-43.25,52.66亿|2025年报,92.80亿|2024年报,-63.90亿|2023年报,52.89亿|2022年报,118.07亿|2025年报,196.07亿|2024年报,75.94亿|2023年报,53.14|2026一季报,46.58|2026一季报,养殖业,农林牧渔-养殖业-生猪养殖,农林牧渔-养殖业-生猪养殖,【HS300_】【MSCI中国】【乡村振兴】【乳业】【创业成份】【创业板综】【华为概念】【反内卷概念】【大盘股】【富时罗素】【新零售】【深成500】【深股通】【深证100R】【猪肉概念】【融资融券】【转债标的】【鸡肉概念】,"肉鸡和肉猪的养殖及其销售;兼营肉鸭、蛋鸡、鸽子等的养殖及其产品的销售。同时,公司围绕畜禽养殖产业链上下游,配套经营畜禽屠宰、食品加工、现代农牧设备制造、兽药生产以及金融投资等业务",15.08,-9.27,-1.54,-7.81,-,9.12,241.36亿,490.74亿,392.90亿,-,673.97亿,24.95,50.35,36.98,-,62.29,22.01亿,-,37.14亿,26.78亿,23.95亿,0.00,15.27,14.76,0.87,0.82,5158.24万,7.76亿,-23.44,897.15亿,false,
39,605499,东鹏饮料,SH,186.09,-3.83,1,上交所主板,否,A股,203.42,174.86,-,186.09,1075.96亿,186.09,22.93,5.65,0.00,0.08,0.00,0.00,0.00,0.00,0.67,0.42,0.58,0.50,1.21,1.16,1.17,1.15,1.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.91|2025年报,44.81|2024年报,43.07|2023年报,51.61|2025年报,46.93|2024年报,35.82|2023年报,31.80,208.75亿|2025年报,158.39亿|2024年报,112.63亿|2023年报,85.05亿|2022年报,32.72,44.15亿|2025年报,33.27亿|2024年报,20.40亿|2023年报,14.41亿|2022年报,61.74亿|2025年报,57.89亿|2024年报,32.81亿|2023年报,44.48|2026一季报,44.04|2026一季报,饮料乳品,食品饮料-饮料乳品-软饮料,食品饮料-饮料乳品-软饮料,【AH股】【HS300_】【MSCI中国】【上证180_】【大盘成长】【大盘股】【新零售】【机构重仓】【沪股通】【百元股】【融资融券】,饮料的研发、生产和销售,186.09,-9.34,-23.23,-11.98,-,-2.49,258.19亿,357.45亿,290.26亿,-,419.97亿,24.93,27.65,20.18,-,27.28,1.05亿,-,1.42亿,1.35亿,1.61亿,-7.41,192.60,185.00,1.26,1.57,653.07万,12.23亿,21.39,967.69亿,false,
40,000625,长安汽车,SZ,8.87,-0.34,0,深交所主板,否,A股,12.74,12.34,9.34,8.87,879.28亿,8.87,28.61,1.14,64.45,64.58,65.41,65.66,66.33,10.30,10.42,11.23,11.55,12.14,3.89,3.88,3.80,3.76,3.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.54|2025年报,14.94|2024年报,17.26|2023年报,5.30|2025年报,9.69|2024年报,16.55|2023年报,2.67,1640.00亿|2025年报,1597.33亿|2024年报,1512.98亿|2023年报,1212.53亿|2022年报,-44.34,40.75亿|2025年报,73.21亿|2024年报,113.27亿|2023年报,77.99亿|2022年报,18.36亿|2025年报,48.49亿|2024年报,198.61亿|2023年报,57.15|2026一季报,1.81|2026一季报,乘用车,汽车-乘用车-综合乘用车,汽车-乘用车-综合乘用车,【AB股】【HS300_】【MSCI中国】【人工智能】【人形机器人】【元宇宙概念】【华为概念】【华为汽车】【参股券商】【周期股】【固态电池】【大盘价值】【大盘股】【央国企改革】【富时罗素】【成渝特区】【新能源车】【无人驾驶】【机构重仓】【标准普尔】【氢能源】【汽车整车】【深成500】【深股通】【深证100R】【燃料电池概念】【独角兽】【电池技术】【百度概念】【股权激励】【融资融券】【西部大开发】【证金持股】【车联网(车路云)】【锂电池概念】【飞行汽车(eVTOL)】,涵盖整车(含乘用车、商用车)的研发、制造和销售以及发动机的研发、生产,8.87,-11.30,-15.68,-2.63,-,-1.93,198.05亿,380.56亿,664.92亿,-,819.55亿,24.70,41.20,65.12,-,77.74,53.79亿,-,64.21亿,41.54亿,53.36亿,-0.03,9.01,8.76,1.23,1.15,1.02亿,9.02亿,62.71,733.29亿,false,
41,603260,合盛硅业,SH,42.49,-3.12,1,上交所主板,否,A股,51.76,73.21,57.27,42.49,502.32亿,42.49,-15.83,1.71,6.23,6.13,6.14,6.09,5.95,4.01,6.57,5.46,8.51,11.27,1.05,1.02,1.03,1.00,0.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.29|2025年报,20.54|2024年报,20.15|2023年报,-9.63|2025年报,5.35|2024年报,8.47|2023年报,-23.20,204.99亿|2025年报,266.92亿|2024年报,265.84亿|2023年报,236.57亿|2022年报,-271.84,-29.91亿|2025年报,17.40亿|2024年报,26.23亿|2023年报,51.48亿|2022年报,40.13亿|2025年报,45.17亿|2024年报,-7.90亿|2023年报,63.52|2026一季报,52.25|2026一季报,化学制品,基础化工-化学制品-有机硅,基础化工-化学制品-有机硅,【HS300_】【MSCI中国】【上证180_】【光伏概念】【半导体概念】【反内卷概念】【周期股】【大盘股】【富时罗素】【新材料】【新能源】【有机硅概念】【机构重仓】【标准普尔】【沪股通】【碳化硅】【融资融券】,"公司主要从事工业硅、有机硅及多晶硅等硅基新材料产品的研发、生产及销售,是我国硅基新材料行业中业务链最完整、生产规模最大的企业之一",42.49,5.02,-23.23,6.57,-,5.32,126.37亿,311.47亿,490.27亿,-,330.11亿,24.38,51.84,73.72,-,53.80,8.71亿,-,6.36亿,1.44亿,1.26亿,-1.37,44.20,42.10,0.88,1.00,1046.19万,4.46亿,162.37,502.32亿,false,
42,600372,中航机载,SH,12.41,-4.17,1,上交所主板,否,A股,12.67,14.61,14.49,12.41,600.51亿,12.41,52.38,1.58,56.28,59.47,62.39,62.31,63.05,14.99,17.53,19.11,18.90,19.52,0.74,0.71,0.68,0.68,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.70|2025年报,28.18|2024年报,29.49|2023年报,2.82|2025年报,2.83|2024年报,16.15|2023年报,1.39,242.12亿|2025年报,238.80亿|2024年报,290.07亿|2023年报,277.22亿|2022年报,2.56,10.67亿|2025年报,10.41亿|2024年报,18.86亿|2023年报,13.51亿|2022年报,2.83亿|2025年报,-19.89亿|2024年报,-10.17亿|2023年报,50.54|2026一季报,33.16|2026一季报,航空装备Ⅱ,国防军工-航空装备Ⅱ-航空装备Ⅲ,国防军工-航空装备Ⅱ-航空装备Ⅲ,【HS300_】【MSCI中国】【上证180_】【低空经济】【军工】【军民融合】【商业航天】【大盘股】【大飞机】【央国企改革】【富时罗素】【标准普尔】【沪股通】【破增发价股】【航天航空】【航母概念】【融资融券】,航空机载系统产品,12.41,-4.54,-3.13,6.59,-,4.57,153.60亿,915.72亿,346.44亿,-,319.26亿,24.09,123.17,56.70,-,53.49,27.44亿,-,25.88亿,16.62亿,13.89亿,-0.54,13.02,12.36,1.42,1.18,6852.43万,8.67亿,83.38,600.51亿,false,
43,600585,海螺水泥,SH,20.48,-2.48,1,上交所主板,否,A股,22.38,25.51,28.80,20.48,1085.30亿,20.48,13.97,0.56,55.38,57.36,58.48,58.96,59.16,0.00,0.03,0.20,0.26,0.27,4.62,4.50,4.45,4.42,4.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.16|2025年报,21.70|2024年报,16.59|2023年报,4.27|2025年报,4.14|2024年报,5.64|2023年报,-9.33,825.32亿|2025年报,910.30亿|2024年报,1411.57亿|2023年报,1320.22亿|2022年报,5.42,81.13亿|2025年报,76.96亿|2024年报,104.28亿|2023年报,156.61亿|2022年报,166.44亿|2025年报,184.76亿|2024年报,200.74亿|2023年报,19.00|2026一季报,54.46|2026一季报,水泥,建筑材料-水泥-水泥制造,建筑材料-水泥-水泥制造,【AH股】【HS300_】【MSCI中国】【一带一路】【上证180_】【价值股】【储能概念】【反内卷概念】【周期股】【大盘价值】【大盘股】【央国企改革】【央视50_】【富时罗素】【机构重仓】【标准普尔】【沪股通】【破净股】【红利破净股】【红利股】【融资融券】【行业龙头】【装配建筑】【证金持股】【铁路基建】【长期破净】【雅下水电概念】,水泥、商品熟料、骨料及混凝土的生产、销售,20.48,-11.57,5.95,-5.86,-,9.37,205.84亿,559.48亿,348.10亿,-,737.12亿,23.68,57.65,37.68,-,76.01,15.07亿,-,30.40亿,10.71亿,8.90亿,-0.52,20.99,20.35,1.15,1.12,4614.39万,9.49亿,18.48,819.14亿,false,
44,601808,中海油服,SH,14.10,-0.14,1,上交所主板,否,A股,14.99,14.67,13.24,14.10,672.79亿,14.10,17.66,1.42,36.27,36.43,37.74,38.15,38.78,8.07,8.16,9.09,9.29,10.07,1.64,1.63,1.62,1.61,1.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.39|2025年报,15.69|2024年报,15.88|2023年报,8.54|2025年报,7.36|2024年报,7.45|2023年报,4.10,502.82亿|2025年报,483.02亿|2024年报,441.09亿|2023年报,356.59亿|2022年报,22.47,38.42亿|2025年报,31.37亿|2024年报,30.13亿|2023年报,23.59亿|2022年报,112.90亿|2025年报,110.17亿|2024年报,130.96亿|2023年报,44.30|2026一季报,50.35|2026一季报,油服工程,石油石化-油服工程-油田服务,石油石化-油服工程-油田服务,【AH股】【HS300_】【一带一路】【上证380】【可燃冰】【大盘股】【天然气】【央国企改革】【富时罗素】【机构重仓】【标准普尔】【沪股通】【油气设服】【油气资源】【海工装备】【海洋经济】【融资融券】【行业龙头】【证金持股】【资源开采概念】,"包括物探采集和工程勘察服务、钻井服务、油田技术服务、船舶服务等。公司既可以为客户提供单一业务的作业服务,也可以为客户提供一体化、总承包作业服务",14.10,-10.70,12.46,4.31,-,-2.18,104.94亿,416.65亿,104.50亿,-,99.50亿,23.31,81.09,24.81,-,24.08,7.34亿,-,7.13亿,8.24亿,7.38亿,-0.02,14.25,14.07,0.60,1.00,1766.21万,2.50亿,19.66,417.43亿,false,
45,601111,中国国航,SH,6.74,-3.99,1,上交所主板,否,A股,7.68,8.42,8.44,6.74,1176.02亿,6.74,59.17,2.67,90.93,91.15,91.55,91.25,91.54,57.53,59.52,60.58,59.90,60.56,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.60,0.61,0.62,0.59,-,-,-,-,-,-,-,-,5.15|2025年报,5.10|2024年报,5.02|2023年报,-4.04|2025年报,-0.60|2024年报,-2.77|2023年报,2.87,1714.85亿|2025年报,1666.99亿|2024年报,1411.00亿|2023年报,528.98亿|2022年报,-646.04,-17.70亿|2025年报,-2.37亿|2024年报,-10.46亿|2023年报,-386.19亿|2022年报,420.45亿|2025年报,345.46亿|2024年报,354.18亿|2023年报,88.17|2026一季报,75.75|2026一季报,航空机场,交通运输-航空机场-航空运输,交通运输-航空机场-航空运输,【AH股】【HS300_】【MSCI中国】【上证180_】【中字头】【周期股】【大盘成长】【大盘股】【央国企改革】【富时罗素】【机构重仓】【标准普尔】【沪股通】【融资融券】【行业龙头】【证金持股】【通用航空】,"以航空运输为核心主业,报告期内营业收入主要由航空客运、航空货运及邮运和其他收入(其他收入主要为飞机维修、地面服务等)构成。",6.74,0.15,-28.18,18.46,-,0.25,187.12亿,482.74亿,360.72亿,-,373.28亿,23.07,51.41,36.78,-,42.52,42.81亿,-,49.49亿,35.35亿,45.99亿,-0.28,6.98,6.71,1.29,1.38,1.50亿,10.19亿,17.15,784.41亿,false,
46,600600,青岛啤酒,SH,61.76,-0.63,1,上交所主板,否,A股,72.95,81.26,68.34,61.76,842.53亿,61.76,18.01,2.60,2.40,2.54,2.53,2.88,2.88,21.31,22.17,22.16,22.98,22.98,3.56,3.54,3.54,3.51,3.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.84|2025年报,40.23|2024年报,38.66|2023年报,15.50|2025年报,15.38|2024年报,16.12|2023年报,1.04,324.73亿|2025年报,321.38亿|2024年报,339.37亿|2023年报,321.72亿|2022年报,5.60,45.88亿|2025年报,43.45亿|2024年报,42.68亿|2023年报,37.11亿|2022年报,45.93亿|2025年报,51.55亿|2024年报,27.78亿|2023年报,37.63|2026一季报,0.52|2026一季报,非白酒,食品饮料-非白酒-啤酒,食品饮料-非白酒-啤酒,【AH股】【HS300_】【MSCI中国】【上证180_】【味蕾经济】【啤酒概念】【大盘价值】【大盘股】【央国企改革】【央视50_】【富时罗素】【新零售】【机构重仓】【标准普尔】【沪股通】【股权激励】【融资融券】【行业龙头】【证金持股】【超级品牌】【酿酒概念】,"是一家中国的啤酒生产商和经销商。该公司通过六个业务部门运营:山东部门、华南部门、华北部门、华东部门、东南部门,及香港与澳门等海外市场部门。山东部门在山东及周边地区从事啤酒生产和销售业务。华南部门在华南地区从事啤酒生产和销售业务。华北部门在华北地区从事啤酒生产和销售业务。华东部门在华东地区从事啤酒生产和销售业务。东南部门在中国东南地区从事啤酒生产和销售业务。香港与澳门等海外市场部门在香港和澳门等海外市场从事啤酒销售业务。",61.76,-0.16,1.08,-7.16,-,-5.10,99.52亿,191.59亿,157.13亿,-,290.07亿,22.41,43.41,34.11,-,59.81,2.42亿,-,4.24亿,3.92亿,3.07亿,-0.39,62.19,61.41,0.88,0.98,624.23万,3.85亿,11.70,437.96亿,false,
47,601766,中国中车,SH,5.97,-0.83,1,上交所主板,否,A股,6.54,5.86,5.96,5.97,1713.32亿,5.97,12.69,0.98,1.58,1.90,2.39,2.07,1.67,3.09,4.04,4.60,4.25,3.28,5.36,5.32,5.27,5.30,5.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.38|2025年报,21.38|2024年报,20.54|2023年报,7.70|2025年报,7.51|2024年报,7.40|2023年报,10.79,2730.63亿|2025年报,2464.74亿|2024年报,2342.62亿|2023年报,2229.39亿|2022年报,6.40,131.81亿|2025年报,123.88亿|2024年报,117.12亿|2023年报,116.53亿|2022年报,241.86亿|2025年报,270.57亿|2024年报,147.22亿|2023年报,60.26|2026一季报,9.45|2026一季报,轨交设备Ⅱ,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,机械设备-轨交设备Ⅱ-轨交设备Ⅲ,【AH股】【HS300_】【IGBT概念】【MSCI中国】【PPP模式】【一带一路】【上证180_】【中字头】【中特估】【交运设备】【储能概念】【半导体概念】【参股保险】【大盘价值】【大盘股】【央国企改革】【富时罗素】【新能源车】【无人驾驶】【机构重仓】【标准普尔】【氢能源】【沪股通】【破净股】【破增发价股】【磁悬浮概念】【融资融券】【行业龙头】【证金持股】【铁路基建】【雄安新区】【风能】,"铁路装备业务,城轨与城市基础设施业务,新产业业务,现代服务业务,国际业务",5.97,-5.84,-7.04,-7.34,-,9.52,327.64亿,655.89亿,459.17亿,-,494.50亿,22.23,41.78,25.32,-,27.08,61.61亿,-,65.88亿,46.70亿,44.00亿,-0.05,6.04,5.96,0.95,0.68,2.31亿,13.88亿,12.68,1452.37亿,false,
