序号|SERIAL,代码|SECURITY_CODE,名称|SECURITY_SHORT_NAME,市场简称|MARKET_SHORT_NAME,最新价|NEWEST_PRICE|2026.05.15|元,涨跌幅|CHG|2026.05.15|%,市场码|MARKET_NUM,上市板块|TRADEMARKET,是否ST|IFSTSTOCK{2026-05-15}|2026.05.15,证券类型|SECURITYTYPE,总市值(日线不复权)|TOAL_MARKET_VALUE<140>|2026.05.15|元,收盘价(日线不复权)|NEWEST_PRICE<140>|2026.05.15|元,市盈率(TTM)(倍)|PETTM{2026-05-15}|2026.05.15|倍,市净率(倍)|PB|2026.05.15|倍,市盈率百分位|PE_TTM_PERCENTILE{2026-05-15}|2026.05.15|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-14}|2026.05.14|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-13}|2026.05.13|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-12}|2026.05.12|%,市盈率百分位|PE_TTM_PERCENTILE{2026-05-11}|2026.05.11|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-15}|2026.05.15|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-14}|2026.05.14|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-13}|2026.05.13|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-12}|2026.05.12|%,市净率百分位|INDEX_PERCENTILE_PB{2026-05-11}|2026.05.11|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-15}|2026.05.15|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-14}|2026.05.14|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-13}|2026.05.13|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-12}|2026.05.12|%,股息率(近12个月)|DIVIDENDYIELDY{2026-05-11}|2026.05.11|%,销售毛利率|XSMLL{2025-12-31}|2025.12.31|%,销售毛利率|XSMLL{2024-12-31}|2024.12.31|%,销售毛利率|XSMLL{2023-12-31}|2023.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2025-12-31}|2025.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2024-12-31}|2024.12.31|%,加权净资产收益率ROE|ROE_WEIGHT{2023-12-31}|2023.12.31|%,营业收入同比增长率(%)|营业收入[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,营业收入|OPERATEREVE{2025-12-31}|2025.12.31|元,营业收入|OPERATEREVE{2024-12-31}|2024.12.31|元,营业收入|OPERATEREVE{2023-12-31}|2023.12.31|元,营业收入|OPERATEREVE{2022-12-31}|2022.12.31|元,归属母公司股东的净利润同比增长率(%)|归属母公司股东的净利润[2023-12-31至2025-12-31]同比增长率(%)|2023.12.31-2025.12.31|%,归属净利润|PARENT_NETPROFIT{2025-12-31}|2025.12.31|元,归属净利润|PARENT_NETPROFIT{2024-12-31}|2024.12.31|元,归属净利润|PARENT_NETPROFIT{2023-12-31}|2023.12.31|元,归属净利润|PARENT_NETPROFIT{2022-12-31}|2022.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2025-12-31}|2025.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2024-12-31}|2024.12.31|元,经营活动产生的现金流量净额|NETOPERATECASHFLOW{2023-12-31}|2023.12.31|元,资产负债率|DEBT_ASSET_RATIO{2026-05-16}|截至2026.05.16最新|%,有息负债率|INTERESTDEBTRATIO{2026-05-16}|截至2026.05.16最新|%,东财行业分类二级|INDUSTRY,东财行业总分类|INDUSTRY_ALL,申万行业分类|SW_INDUSTRY,概念|STYLE_CONCEPT,主营业务|MAIN_BUSINESS,收盘价(季线不复权)|NEWEST_PRICE<170>|2026.05.15|元,涨跌幅(季线)|CHG<100>|2026.05.15|%,涨跌幅(季线)|CHG<100>{2026-03-31}|2026.03.31|%,涨跌幅(季线)|CHG<100>{2025-12-31}|2025.12.31|%,涨跌幅(季线)|CHG<100>{2025-09-30}|2025.09.30|%,成交额(季线)|TRADING_VOLUMES<100>|2026.05.15|元,成交额(季线)|TRADING_VOLUMES<100>{2026-03-31}|2026.03.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-12-31}|2025.12.31|元,成交额(季线)|TRADING_VOLUMES<100>{2025-09-30}|2025.09.30|元,换手率(季线)|TURNOVER_RATE<100>|2026.05.15|%,换手率(季线)|TURNOVER_RATE<100>{2026-03-31}|2026.03.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-12-31}|2025.12.31|%,换手率(季线)|TURNOVER_RATE<100>{2025-09-30}|2025.09.30|%,成交量(股)(季线)|VOLUME<100>{2025-12-31}|2025.12.31|股,成交量(股)(季线)|VOLUME<100>{2025-09-30}|2025.09.30|股,成交量(股)(季线)|VOLUME<100>{2025-06-30}|2025.06.30|股,成交量(股)(季线)|VOLUME<100>{2025-03-31}|2025.03.31|股,涨跌额|PCHG|2026.05.15|元,最高价(日线不复权)|PEAK_PRICE<140>|2026.05.15|元,最低价(日线不复权)|BOTTOM_PRICE<140>|2026.05.15|元,换手率|TURNOVER_RATE|2026.05.15|%,量比|QRR|2026.05.15,成交量(股)|VOLUME|2026.05.15|股,成交额|TRADING_VOLUMES|2026.05.15|元,市盈率(动)(倍)|PE_DYNAMIC|2026.05.15|倍,流通市值(日线不复权)|CIRCULATION_MARKET_VALUE<140>|2026.05.15|元,IN_OPTIONAL,VOLUME<100>{2025-05-16|2026-05-15|4|报告期}
19,300015,爱尔眼科,SZ,10.58,-1.86,0,深交所创业板,否,A股,986.63亿,10.58,29.27,4.28,2.27,2.69,2.94,2.22,2.42,0.70,1.00,1.25,0.65,0.85,2.26,2.22,2.20,2.27,2.23,47.11|2025年报,48.12|2024年报,50.79|2023年报,14.97|2025年报,17.89|2024年报,18.88|2023年报,6.53,223.53亿|2025年报,209.83亿|2024年报,203.67亿|2023年报,161.10亿|2022年报,-8.88,32.40亿|2025年报,35.56亿|2024年报,33.59亿|2023年报,25.24亿|2022年报,59.73亿|2025年报,48.82亿|2024年报,58.72亿|2023年报,32.72|2026一季报,60.49|2026一季报,医疗服务,医药生物-医疗服务-医院,医药生物-医疗服务-医院,【HS300_】【MSCI中国】【互联医疗】【养老概念】【创业成份】【创业板综】【创新医疗服务】【医疗器械概念】【医美概念】【大盘股】【宁组合】【富时罗素】【深成500】【深股通】【深证100R】【破增发价股】【茅指数】【融资融券】,主要从事各类眼科疾病诊疗、手术服务与医学验光配镜,10.58,11.25,-12.75,-11.09,-1.13,274.57亿,463.97亿,382.21亿,811.52亿,33.23,53.62,40.31,79.21,32.06亿,62.82亿,31.36亿,42.22亿,-0.20,10.80,10.49,1.02,0.88,8079.59万,8.59亿,20.89,841.68亿,false,
20,603699,纽威股份,SH,65.20,5.16,1,上交所主板,否,A股,505.48亿,65.20,30.03,10.11,65.02,59.76,61.58,62.04,65.71,98.00,96.72,97.33,97.46,98.16,2.62,2.76,2.71,2.70,2.60,39.28|2025年报,38.10|2024年报,31.09|2023年报,34.45|2025年报,28.66|2024年报,20.65|2023年报,24.53,77.68亿|2025年报,62.38亿|2024年报,55.44亿|2023年报,40.59亿|2022年报,38.54,16.01亿|2025年报,11.56亿|2024年报,7.22亿|2023年报,4.66亿|2022年报,21.93亿|2025年报,11.12亿|2024年报,6.37亿|2023年报,52.22|2026一季报,31.48|2026一季报,通用设备,机械设备-通用设备-金属制品,机械设备-通用设备-金属制品,【上证380】【中盘成长】【中盘股】【中证500】【昨日高振幅】【核能核电】【沪股通】【油气资源】【融资融券】【页岩气】,工业阀门的设计、制造和销售。,65.20,34.96,-7.04,17.50,44.59,135.17亿,193.12亿,174.42亿,147.89亿,30.78,45.77,46.69,56.75,3.54亿,4.28亿,3.14亿,3.45亿,3.20,65.99,62.06,1.32,1.41,1001.68万,6.48亿,36.61,494.31亿,false,
21,000408,藏格矿业,SZ,83.71,-4.53,0,深交所主板,否,A股,1314.44亿,83.71,28.09,8.59,41.11,42.25,43.16,42.34,41.92,73.19,75.55,76.75,75.80,75.14,2.98,2.85,2.74,2.84,2.88,59.24|2025年报,44.91|2024年报,65.25|2023年报,24.71|2025年报,19.40|2024年报,27.62|2023年报,10.03,35.77亿|2025年报,32.51亿|2024年报,52.26亿|2023年报,81.94亿|2022年报,49.32,38.52亿|2025年报,25.80亿|2024年报,34.20亿|2023年报,56.55亿|2022年报,21.00亿|2025年报,9.19亿|2024年报,29.84亿|2023年报,7.06|2026一季报,17.72|2026一季报,农化制品,基础化工-农化制品-钾肥,有色金属-能源金属-锂,【2025年报预增】【HS300_】【MSCI中国】【反内卷概念】【大盘股】【央国企改革】【小金属概念】【机构重仓】【深成500】【深股通】【深证100R】【电池技术】【融资融券】【西部大开发】【锂电池概念】【锂矿概念】,氯化钾、碳酸锂的研发、生产与销售,83.71,7.64,-6.19,45.87,41.47,367.55亿,882.15亿,609.99亿,361.17亿,27.01,66.77,59.75,45.68,9.38亿,7.17亿,5.19亿,6.43亿,-3.97,87.65,83.49,1.34,1.22,2103.64万,17.89亿,20.88,1314.42亿,false,
22,002027,分众传媒,SZ,5.92,0.00,0,深交所主板,否,A股,854.98亿,5.92,23.74,5.54,52.69,52.69,54.30,54.29,55.19,57.59,57.58,59.18,59.18,60.40,6.42,6.42,6.30,6.30,6.22,70.48|2025年报,66.26|2024年报,65.48|2023年报,18.28|2025年报,29.91|2024年报,28.42|2023年报,4.05,127.59亿|2025年报,122.62亿|2024年报,119.04亿|2023年报,94.25亿|2022年报,-42.85,29.46亿|2025年报,51.55亿|2024年报,48.27亿|2023年报,27.90亿|2022年报,72.09亿|2025年报,66.42亿|2024年报,76.78亿|2023年报,25.30|2026一季报,52.76|2026一季报,广告营销,传媒-广告营销-广告媒体,传媒-广告营销-广告媒体,【HS300_】【MSCI中国】【价值股】【大数据】【大盘价值】【大盘股】【富时罗素】【文娱消费】【标准普尔】【深成500】【深股通】【深证100R】【电子竞技】【融资融券】【行业龙头】【阿里概念】,"生活圈媒体的开发和运营,主要产品为楼宇媒体(包含电梯电视媒体和电梯海报媒体)、影院银幕广告媒体和终端卖场媒体等,覆盖城市主流消费人群的工作场景、生活场景、娱乐场景和消费场景,并相互整合成为生活圈媒体网络。",5.92,-9.62,-11.13,-6.83,14.31,241.22亿,627.51亿,494.40亿,646.33亿,26.73,60.02,45.97,56.20,66.39亿,81.17亿,67.46亿,72.90亿,0.00,5.98,5.89,0.72,0.60,1.03亿,6.13亿,11.94,854.98亿,false,
23,601100,恒立液压,SH,116.02,6.38,1,上交所主板,否,A股,1555.62亿,116.02,56.19,8.70,71.37,68.84,69.54,69.95,70.60,83.91,81.53,82.49,82.79,83.39,0.86,0.92,0.90,0.89,0.88,41.58|2025年报,42.83|2024年报,41.74|2023年报,16.63|2025年报,16.81|2024年报,18.69|2023年报,16.52,109.41亿|2025年报,93.90亿|2024年报,89.85亿|2023年报,81.97亿|2022年报,8.99,27.34亿|2025年报,25.09亿|2024年报,24.99亿|2023年报,23.43亿|2022年报,18.11亿|2025年报,24.79亿|2024年报,26.77亿|2023年报,20.43|2026一季报,0.97|2026一季报,工程机械,机械设备-工程机械-工程机械器件,机械设备-工程机械-工程机械器件,【HS300_】【MSCI中国】【上证180_】【周期股】【大盘成长】【大盘股】【富时罗素】【工程机械概念】【昨日高振幅】【标准普尔】【沪股通】【百元股】【茅指数】【融资融券】,"从事液压传动控制设备与系统集成的研发、制造、销售和服务工作,主要产品包括高压油缸、高压柱塞泵、液压多路阀、液压马达、工业阀、液压系统、液压测试台及高精密液压铸件等产品。液压元件及系统是大型机械的核心传动装置,公司液压产品下游应用领域覆盖行走机械、隧道工程、农业机械、工业工程、海洋工程、风电光伏新能源等行业与领域",116.02,20.85,-12.66,15.13,33.15,368.35亿,718.52亿,649.60亿,626.04亿,26.25,48.47,48.49,56.59,6.50亿,7.59亿,6.06亿,9.68亿,6.96,118.74,109.18,1.38,1.82,1846.14万,21.19亿,59.63,1555.62亿,false,
24,600887,伊利股份,SH,27.61,-0.61,1,上交所主板,否,A股,1746.43亿,27.61,14.45,2.93,6.94,7.16,7.23,7.39,7.42,14.49,14.73,14.81,15.00,15.05,6.16,6.12,6.09,6.07,6.06,34.58|2025年报,33.88|2024年报,32.58|2023年报,20.87|2025年报,15.81|2024年报,20.20|2023年报,0.21,1156.36亿|2025年报,1153.93亿|2024年报,1257.58亿|2023年报,1226.98亿|2022年报,36.82,115.65亿|2025年报,84.53亿|2024年报,104.29亿|2023年报,94.31亿|2022年报,143.44亿|2025年报,217.40亿|2024年报,182.90亿|2023年报,59.50|2026一季报,66.63|2026一季报,饮料乳品,食品饮料-饮料乳品-乳品,食品饮料-饮料乳品-乳品,【HS300_】【MSCI中国】【上证180_】【上证50_】【乳业】【味蕾经济】【大盘价值】【大盘股】【央视50_】【婴童概念】【富时罗素】【新零售】【机构重仓】【标准普尔】【沪股通】【破增发价股】【茅指数】【融资融券】【行业龙头】【西部大开发】【证金持股】【超级品牌】,各类乳品及健康饮品的生产与销售,27.61,4.78,-7.87,6.72,-2.19,431.82亿,816.72亿,731.81亿,1033.89亿,25.71,48.51,41.00,58.96,25.81亿,37.11亿,23.61亿,26.64亿,-0.17,27.99,27.49,0.77,0.73,4833.72万,13.41亿,8.09,1737.75亿,false,
25,605499,东鹏饮料,SH,186.09,-3.83,1,上交所主板,否,A股,1075.96亿,186.09,22.93,5.65,0.00,0.08,0.00,0.00,0.00,0.00,0.67,0.42,0.58,0.50,1.21,1.16,1.17,1.15,1.14,44.91|2025年报,44.81|2024年报,43.07|2023年报,51.61|2025年报,46.93|2024年报,35.82|2023年报,31.80,208.75亿|2025年报,158.39亿|2024年报,112.63亿|2023年报,85.05亿|2022年报,32.72,44.15亿|2025年报,33.27亿|2024年报,20.40亿|2023年报,14.41亿|2022年报,61.74亿|2025年报,57.89亿|2024年报,32.81亿|2023年报,44.48|2026一季报,44.04|2026一季报,饮料乳品,食品饮料-饮料乳品-软饮料,食品饮料-饮料乳品-软饮料,【AH股】【HS300_】【MSCI中国】【上证180_】【大盘成长】【大盘股】【新零售】【机构重仓】【沪股通】【百元股】【融资融券】,饮料的研发、生产和销售,186.09,-9.34,-23.23,-11.98,-2.49,258.19亿,357.45亿,290.26亿,419.97亿,24.93,27.65,20.18,27.28,1.05亿,1.42亿,1.35亿,1.61亿,-7.41,192.60,185.00,1.26,1.57,653.07万,12.23亿,21.39,967.69亿,false,
26,600600,青岛啤酒,SH,61.76,-0.63,1,上交所主板,否,A股,842.53亿,61.76,18.01,2.60,2.40,2.54,2.53,2.88,2.88,21.31,22.17,22.16,22.98,22.98,3.56,3.54,3.54,3.51,3.50,41.84|2025年报,40.23|2024年报,38.66|2023年报,15.50|2025年报,15.38|2024年报,16.12|2023年报,1.04,324.73亿|2025年报,321.38亿|2024年报,339.37亿|2023年报,321.72亿|2022年报,5.60,45.88亿|2025年报,43.45亿|2024年报,42.68亿|2023年报,37.11亿|2022年报,45.93亿|2025年报,51.55亿|2024年报,27.78亿|2023年报,37.63|2026一季报,0.52|2026一季报,非白酒,食品饮料-非白酒-啤酒,食品饮料-非白酒-啤酒,【AH股】【HS300_】【MSCI中国】【上证180_】【味蕾经济】【啤酒概念】【大盘价值】【大盘股】【央国企改革】【央视50_】【富时罗素】【新零售】【机构重仓】【标准普尔】【沪股通】【股权激励】【融资融券】【行业龙头】【证金持股】【超级品牌】【酿酒概念】,"是一家中国的啤酒生产商和经销商。该公司通过六个业务部门运营:山东部门、华南部门、华北部门、华东部门、东南部门,及香港与澳门等海外市场部门。山东部门在山东及周边地区从事啤酒生产和销售业务。华南部门在华南地区从事啤酒生产和销售业务。华北部门在华北地区从事啤酒生产和销售业务。华东部门在华东地区从事啤酒生产和销售业务。东南部门在中国东南地区从事啤酒生产和销售业务。香港与澳门等海外市场部门在香港和澳门等海外市场从事啤酒销售业务。",61.76,-0.16,1.08,-7.16,-5.10,99.52亿,191.59亿,157.13亿,290.07亿,22.41,43.41,34.11,59.81,2.42亿,4.24亿,3.92亿,3.07亿,-0.39,62.19,61.41,0.88,0.98,624.23万,3.85亿,11.70,437.96亿,false,
27,002128,电投能源,SZ,30.31,-5.46,0,深交所主板,否,A股,679.42亿,30.31,11.59,1.81,50.09,53.27,52.37,52.49,51.71,55.27,58.17,57.62,57.72,56.87,3.63,3.43,3.48,3.47,3.52,36.83|2025年报,34.05|2024年报,31.81|2023年报,14.94|2025年报,16.36|2024年报,16.24|2023年报,0.86,301.15亿|2025年报,298.59亿|2024年报,268.46亿|2023年报,267.93亿|2022年报,1.45,54.19亿|2025年报,53.42亿|2024年报,45.60亿|2023年报,39.86亿|2022年报,92.07亿|2025年报,79.50亿|2024年报,68.71亿|2023年报,22.92|2026一季报,54.59|2026一季报,煤炭开采,煤炭-煤炭开采-动力煤,煤炭-煤炭开采-动力煤,【MSCI中国】【中特估】【中盘价值】【中盘股】【中证500】【光伏概念】【反内卷概念】【央国企改革】【富时罗素】【并购重组概念】【标准普尔】【深成500】【深股通】【稀缺资源】【融资融券】【西部大开发】【风能】,生产销售煤炭、铝及电力产品等业务。,30.31,0.80,8.91,23.98,19.22,156.47亿,390.92亿,261.42亿,153.92亿,21.79,57.36,44.25,32.98,9.92亿,7.39亿,7.06亿,6.99亿,-1.75,31.63,30.01,1.16,1.56,2605.36万,7.94亿,8.49,679.42亿,false,
28,300760,迈瑞医疗,SZ,160.37,-0.54,0,深交所创业板,否,A股,1944.39亿,160.37,24.81,4.85,8.92,9.69,13.34,13.51,14.94,0.60,0.87,1.09,1.09,1.20,2.89,2.87,2.79,2.78,2.74,60.32|2025年报,63.11|2024年报,64.18|2023年报,21.58|2025年报,32.58|2024年报,33.64|2023年报,-9.38,332.82亿|2025年报,367.26亿|2024年报,349.32亿|2023年报,303.66亿|2022年报,-30.28,81.36亿|2025年报,116.68亿|2024年报,115.82亿|2023年报,96.07亿|2022年报,101.45亿|2025年报,124.32亿|2024年报,110.62亿|2023年报,24.77|2026一季报,2.32|2026一季报,医疗器械,医药生物-医疗器械-医疗设备,医药生物-医疗器械-医疗设备,【HS300_】【MSCI中国】【体外诊断概念】【养老金】【创业成份】【创业板综】【医疗器械概念】【大盘价值】【大盘股】【宁组合】【富时罗素】【权重股】【深圳特区】【深成500】【深股通】【深证100R】【独角兽】【百元股】【精准诊断】【茅指数】【融资融券】【行业龙头】,"医疗器械的研发、制造、营销及服务,始终以客户需求为导向,致力于为全球医疗机构提供优质的产品、服务和解决方案",160.37,-2.61,-13.54,-22.06,10.02,429.27亿,827.35亿,860.17亿,1288.37亿,21.72,36.05,33.82,45.13,4.10亿,5.47亿,3.50亿,2.95亿,-0.87,163.10,160.07,0.58,0.81,701.37万,11.33亿,20.87,1942.72亿,false,
29,000596,古井贡酒,SZ,97.62,-3.38,0,深交所主板,否,A股,516.02亿,97.62,18.26,1.98,16.40,17.46,16.89,17.61,18.05,10.92,11.37,11.13,11.55,11.97,6.15,5.94,6.04,5.85,5.68,79.26|2025年报,79.90|2024年报,79.07|2023年报,14.28|2025年报,23.89|2024年报,22.92|2023年报,-20.13,188.32亿|2025年报,235.78亿|2024年报,202.54亿|2023年报,167.13亿|2022年报,-35.67,35.49亿|2025年报,55.17亿|2024年报,45.89亿|2023年报,31.43亿|2022年报,19.47亿|2025年报,47.28亿|2024年报,44.96亿|2023年报,32.97|2026一季报,4.43|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【AB股】【HS300_】【MSCI中国】【味蕾经济】【大盘价值】【大盘股】【央国企改革】【央视50_】【富时罗素】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【白酒】【破增发价股】【融资融券】【酿酒概念】,白酒的生产和销售,97.62,-5.09,-21.85,-17.53,20.76,92.34亿,258.84亿,261.70亿,351.40亿,21.38,50.51,41.36,56.24,1.69亿,2.30亿,1.67亿,1.62亿,-3.42,101.00,97.18,0.81,0.94,332.71万,3.27亿,8.03,398.88亿,false,
30,000651,格力电器,SZ,40.28,0.15,0,深交所主板,否,A股,2256.25亿,40.28,7.73,1.48,9.98,9.78,10.02,10.09,10.33,0.76,0.73,0.74,0.77,0.80,9.90,9.92,9.90,9.89,9.86,29.81|2025年报,29.43|2024年报,29.43|2023年报,20.30|2025年报,25.42|2024年报,26.53|2023年报,-9.89,1704.47亿|2025年报,1891.64亿|2024年报,2039.79亿|2023年报,1889.88亿|2022年报,-9.89,290.03亿|2025年报,321.85亿|2024年报,290.17亿|2023年报,245.07亿|2022年报,463.83亿|2025年报,293.69亿|2024年报,563.98亿|2023年报,59.15|2026一季报,32.72|2026一季报,白色家电,家用电器-白色家电-空调,家用电器-白色家电-空调,【HS300_】【MSCI中国】【价值股】【储能概念】【光伏概念】【净水概念】【国产芯片】【大盘价值】【大盘股】【央视50_】【工业母机】【新能源车】【新零售】【智能家居】【机器人概念】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【特斯拉概念】【电池技术】【空气能热泵】【粤港自贸】【红利股】【职业教育】【茅指数】【融资融券】【证金持股】【超级品牌】【锂电池概念】,从事消费电器及其配件的生产及销售,40.28,6.50,-3.57,1.29,-7.66,457.85亿,874.79亿,950.11亿,1408.08亿,21.26,40.72,42.47,57.82,23.45亿,31.89亿,20.48亿,26.71亿,0.06,40.68,39.92,0.89,1.09,4897.96万,19.81亿,9.27,2224.27亿,false,
31,002415,海康威视,SZ,33.12,-0.99,0,深交所主板,否,A股,3035.41亿,33.12,20.32,3.83,8.83,9.68,15.16,15.50,21.06,6.20,7.05,8.76,9.02,10.47,3.33,3.29,3.19,3.19,3.12,45.88|2025年报,43.83|2024年报,44.33|2023年报,17.30|2025年报,15.34|2024年报,19.64|2023年报,0.01,925.08亿|2025年报,924.96亿|2024年报,893.41亿|2023年报,831.66亿|2022年报,18.52,141.95亿|2025年报,119.77亿|2024年报,141.08亿|2023年报,128.38亿|2022年报,253.39亿|2025年报,132.64亿|2024年报,166.22亿|2023年报,30.26|2026一季报,16.25|2026一季报,计算机设备,计算机-计算机设备-安防设备,计算机-计算机设备-安防设备,【AI应用】【HS300_】【MSCI中国】【中特估】【云计算】【人工智能】【光纤概念】【大数据】【大盘股】【央国企改革】【央视50_】【存储芯片】【安防概念】【无人机】【无人驾驶】【智慧城市】【机器人概念】【权重股】【标准普尔】【深成500】【深股通】【深证100R】【物联网】【生物识别】【茅指数】【虚拟现实】【融资融券】【行业龙头】【证金持股】【超清视频】【车联网(车路云)】【边缘计算】【长江三角】,"安防视频监控产品研发、生产和销售,产品包括硬盘录像机(DVR)、视音频编解码卡等数据存储及处理设备,以及监控摄像机、监控球机、视频服务器(DVS)等视音频信息采集处理设备。",33.12,8.88,1.94,-4.11,13.87,620.89亿,967.21亿,1115.93亿,1216.08亿,20.19,33.94,38.48,45.15,34.81亿,40.85亿,18.12亿,26.92亿,-0.33,34.08,33.02,0.68,0.83,6185.46万,20.74亿,27.29,2996.17亿,false,
32,600660,福耀玻璃,SH,56.00,-1.25,1,上交所主板,否,A股,1461.46亿,56.00,16.25,4.06,34.96,35.77,36.19,38.82,38.73,42.40,43.63,44.26,47.97,47.85,3.75,3.70,3.68,1.51,1.52,37.27|2025年报,36.23|2024年报,35.39|2023年报,25.56|2025年报,22.72|2024年报,18.97|2023年报,16.65,457.87亿|2025年报,392.52亿|2024年报,331.61亿|2023年报,280.99亿|2022年报,24.20,93.12亿|2025年报,74.98亿|2024年报,56.29亿|2023年报,47.56亿|2022年报,120.55亿|2025年报,85.62亿|2024年报,76.25亿|2023年报,46.63|2026一季报,59.72|2026一季报,汽车零部件,汽车-汽车零部件-车身附件及饰件,汽车-汽车零部件-车身附件及饰件,【AH股】【HS300_】【MSCI中国】【上证180_】【光伏概念】【周期股】【大盘股】【央视50_】【富时罗素】【小米汽车】【机构重仓】【标准普尔】【沪股通】【特斯拉概念】【融资融券】【证金持股】【贬值受益】,"各种交通运输工具提供安全玻璃和汽车饰件全解决方案,包括汽车级浮法玻璃、汽车玻璃、机车玻璃、行李架、车窗饰件相关的设计、生产、销售及服务",56.00,0.36,-12.22,-10.85,29.87,232.49亿,567.12亿,431.48亿,677.44亿,19.70,46.96,32.95,53.88,6.60亿,10.79亿,6.28亿,7.11亿,-0.71,57.45,55.91,0.79,1.06,1574.16万,8.87亿,21.35,1121.67亿,false,
33,000568,泸州老窖,SZ,91.00,-3.55,0,深交所主板,否,A股,1339.47亿,91.00,13.47,2.60,11.84,13.79,13.02,14.05,15.44,11.49,13.14,12.46,13.28,14.30,6.54,6.31,6.42,6.28,6.14,86.62|2025年报,87.54|2024年报,88.30|2023年报,22.66|2025年报,30.44|2024年报,35.07|2023年报,-17.52,257.31亿|2025年报,311.96亿|2024年报,302.33亿|2023年报,251.24亿|2022年报,-19.61,108.31亿|2025年报,134.73亿|2024年报,132.46亿|2023年报,103.65亿|2022年报,71.23亿|2025年报,191.82亿|2024年报,106.48亿|2023年报,21.81|2026一季报,46.33|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【HS300_】【IPO受益】【MSCI中国】【价值股】【农业种植】【参股券商】【味蕾经济】【基金重仓】【大盘价值】【大盘股】【央国企改革】【富时罗素】【成渝特区】【机构重仓】【标准普尔】【深成500】【深股通】【深证100R】【白酒】【茅指数】【融资融券】【西部大开发】【证金持股】【超级品牌】【酿酒概念】,泸州老窖系列酒的生产、销售。,91.00,-13.07,-8.86,-12.03,21.51,255.30亿,720.67亿,699.48亿,922.37亿,17.44,42.77,36.27,48.77,5.33亿,7.17亿,5.40亿,6.58亿,-3.35,93.20,90.75,0.93,1.19,1369.78万,12.53亿,9.03,1338.84亿,false,
34,600809,山西汾酒,SH,131.41,-1.97,1,上交所主板,否,A股,1603.16亿,131.41,14.60,3.56,3.05,3.19,3.18,3.30,3.63,22.66,24.76,24.52,27.25,29.83,2.74,2.69,2.69,2.63,2.56,74.85|2025年报,76.20|2024年报,75.31|2023年报,33.48|2025年报,39.68|2024年报,43.06|2023年报,7.52,387.18亿|2025年报,360.11亿|2024年报,319.28亿|2023年报,262.14亿|2022年报,0.03,122.46亿|2025年报,122.43亿|2024年报,104.38亿|2023年报,80.96亿|2022年报,90.14亿|2025年报,121.72亿|2024年报,72.25亿|2023年报,29.26|2026一季报,0.13|2026一季报,白酒Ⅱ,食品饮料-白酒Ⅱ-白酒Ⅲ,食品饮料-白酒Ⅱ-白酒Ⅲ,【HS300_】【MSCI中国】【上证180_】【上证50_】【味蕾经济】【基金重仓】【大盘股】【央国企改革】【富时罗素】【标准普尔】【沪股通】【白酒】【百元股】【融资融券】【酿酒概念】,汾酒、竹叶青酒、杏花村系列酒的生产、销售,131.41,-8.14,-16.68,-11.50,12.28,296.09亿,630.73亿,547.57亿,930.18亿,17.38,31.00,23.82,40.19,2.91亿,4.90亿,3.49亿,3.47亿,-2.64,133.58,130.33,0.62,0.83,752.45万,9.88亿,7.45,1603.16亿,false,
